linked sub,make array, 0.5,1,linked sub list iterator,make array list iterator
collating,unmodifiable, 0.666666666666667,3,collating iterator,unmodifiable iterator,test collating iterator,test unmodifiable iterator,test collating iterator,test unmodifiable iterator
bag compatibility,list serialization, 0.5,2,test full bag compatibility,test full list serialization,test empty bag compatibility,test empty list serialization
head,ordered, 0.6,3,test bidi head map contains,test bidi ordered map iterator,bulk test head map,abstract test ordered map,bulk test head map,test ordered map iterator
check,ensure, 0.5,1,check capacity,ensure capacity
to,array, 0.666666666666667,2,to list,array list,test to list,test array list
one,identity, 0.666666666666667,2,one predicate,identity predicate,test one predicate,test identity predicate
next,reuse, 0.5,1,next entry,reuse entry
impl,first, 0.5,1,remove impl,remove first
size,transformer, 0.666666666666667,1,test map size,test map transformer
utils,empty, 0.666666666666667,1,test buffer utils,test buffer empty
array,singleton, 0.75,7,array list iterator,singleton list iterator,array iterator,singleton iterator,array iterator,singleton iterator,test array iterator,test singleton iterator,test array list iterator,test singleton list iterator,test array list iterator,test singleton list iterator,test array iterator,test singleton iterator
map,unsupported, 0.666666666666667,1,test map remove,test unsupported remove
put,item, 0.5,1,test multi key put,test remove key item
remove,composited, 0.666666666666667,1,test add remove,test add composited
sub,bean, 0.666666666666667,3,bulk test sub map,test bean map clone,sub map,bean map,test sub map,test bean map
bag,hash, 0.5,1,bag iterator,hash iterator
branch,looping, 0.5,1,branch iterator,looping iterator
clear,inverse, 0.666666666666667,1,test bidi clear,test bidi inverse
flat map,empty list, 0.5,1,test flat map iterator,test empty list iterator
hash,create, 0.5,3,hash map,create map,hash entry,create entry,hash entry,create entry
looping,collection, 0.666666666666667,1,test looping iterator,test collection iterator
populate,iterator, 0.5,1,test to array populate,test object array iterator
buffer,transformer, 0.666666666666667,2,buffer utils,transformer utils,test buffer utils,test transformer utils
list,predicate, 0.666666666666667,5,test list utils,test predicate utils,list utils,predicate utils,transformed list,transformed predicate,test transformed list,test transformed predicate,test transformed list,test transformed predicate
sub,growth, 0.666666666666667,3,sub list,growth list,sub list,growth list,test sub list,test growth list
to,key, 0.6,2,test add all to collection,test put all key collection,to list,key list
full,list, 0.666666666666667,2,test full iterator,test list iterator,test full iterator,test list iterator
sub list,singleton iterator, 0.5,1,test sub list remove,test singleton iterator remove
bag,cursor, 0.666666666666667,1,test bag add,test cursor add
equals hash,unmodifiable sorted, 0.5,1,test equals hash bag,test unmodifiable sorted bag
add,create, 0.5,2,add node,create node,add entry,create entry
ordered map,add replacing, 0.5,1,test list ordered map,test list add replacing
bucket map,factory methods, 0.5,1,test static bucket map,test static factory methods
to array,iterator remove, 0.5,1,test collection to array,test collection iterator remove
token,greater, 0.5,1,next token,next greater
predicated,unmodifiable, 0.75,31,test predicated sorted map,test unmodifiable sorted map,predicated sorted map,unmodifiable sorted map,test predicated map,test unmodifiable map,predicated map,unmodifiable map,test predicated map,test unmodifiable map,predicated list iterator,unmodifiable list iterator,predicated collection,unmodifiable collection,test predicated collection,test unmodifiable collection,test predicated collection,test unmodifiable collection,test predicated collection,test unmodifiable collection,test predicated collection,test unmodifiable collection,test predicated buffer,test unmodifiable buffer,predicated buffer,unmodifiable buffer,predicated sorted bag,unmodifiable sorted bag,test predicated sorted bag,test unmodifiable sorted set,test predicated sorted bag,test unmodifiable sorted bag,test predicated sorted bag,test unmodifiable sorted map,test predicated sorted map,test unmodifiable sorted set,test predicated sorted bag,test unmodifiable sorted set,test predicated sorted set,test unmodifiable sorted set,test predicated sorted map,test unmodifiable sorted bag,test predicated sorted bag,test unmodifiable sorted bag,test predicated sorted bag,test unmodifiable sorted map,test predicated sorted set,test unmodifiable sorted bag,test predicated sorted set,test unmodifiable sorted map,predicated sorted set,unmodifiable sorted set,test predicated list,test unmodifiable list,predicated list,unmodifiable list,predicated bag,unmodifiable bag,test predicated bag,test unmodifiable bag,test predicated bag,test unmodifiable bag
closure,instantiate, 0.5,1,closure transformer,instantiate transformer
list,entry, 0.6,4,test list set by index,test entry set by value,list iterator,entry iterator,list iterator,entry iterator,unmodifiable list,unmodifiable entry
switch,executor, 0.666666666666667,1,test switch transformer,test executor transformer
reuse,identity, 0.5,1,reuse entry,identity entry
bag,notifying, 0.5,1,bag iterator,notifying iterator
full,array, 0.75,8,make full list iterator,make array list iterator,test full iterator,test array iterator,make full iterator,make array iterator,test full iterator,test array iterator,test array list iterator,test full list compatibility,test array list iterator,test full list compatibility,test array list iterator,test full list serialization,test array list iterator,test full list serialization
multi key,inverse bidi, 0.5,1,test multi key map,test inverse bidi map
view,verify, 0.5,1,view map,verify map
mutator,composited, 0.666666666666667,1,test add mutator,test add composited
decorate,transform, 0.5,1,decorate map,transform map
values,transform, 0.5,1,values iterator,transform iterator
typed,transform, 0.5,1,typed map,transform map
flat,identity, 0.666666666666667,2,test flat map,test identity map,flat map,identity map
check,create, 0.5,1,check map,create map
lazy,proxy, 0.5,1,lazy map,proxy map
lazy,array, 0.666666666666667,2,lazy list,array list,test lazy list,test array list
hash,view, 0.666666666666667,3,hash map iterator,view map iterator,view map,hash map,hash iterator,view iterator
value,collating, 0.5,2,value iterator,collating iterator,value iterator,collating iterator
lazy sorted,sequenced hash, 0.5,1,test lazy sorted map,test sequenced hash map
sub,synchronized, 0.666666666666667,3,sub list,synchronized list,sub list,synchronized list,test sub list,test synchronized list
keyed,array, 0.666666666666667,2,test keyed iterator,test array iterator,test array iterator,test keyed iterator
sub,defaulted, 0.666666666666667,2,test sub map,test defaulted map,sub map,defaulted map
tree,create, 0.666666666666667,2,tree bidi map,create bidi map,tree map,create map
index,value, 0.6,4,test list set by index,test entry set by value,test remove by index,test values by value,test get by index,test values by value,test key set by value,test list set by index
switch,unmodifiable, 0.5,4,test switch map closure,test unmodifiable map entry,test switch map closure,test unmodifiable map iterator,test switch map transformer,test unmodifiable map entry,test switch map transformer,test unmodifiable map iterator
key,linked, 0.5,1,key list,linked list
list,abstract, 0.5,2,list ordered map iterator,abstract ordered map decorator,list ordered map entry,abstract ordered map decorator
sequence,reference, 0.666666666666667,1,test sequence map,test reference map
random,looping, 0.5,1,test random list sort,test looping list iterator
lru,node, 0.666666666666667,2,test remove lru,test remove node,remove lru,remove node
proxy,hashed, 0.5,1,proxy map,hashed map
random,array, 0.5,2,test random list sort,test array list iterator,test random list sort,test array list iterator
null,true, 0.666666666666667,2,null predicate,true predicate,test true predicate,test null predicate
inverse,abstract, 0.5,2,inverse sorted bidi map,abstract sorted map decorator,inverse ordered bidi map,abstract ordered map decorator
serialize,compatible, 0.75,10,test full map serialization,test empty map compatibility,test full map compatibility,test full map serialization,test full list serialization,test full list compatibility,test full list compatibility,test empty list serialization,test full list serialization,test empty list compatibility,test empty list compatibility,test empty list serialization,test full bag serialization,test full bag compatibility,test full bag compatibility,test empty bag serialization,test empty bag serialization,test empty bag compatibility,test full bag serialization,test empty bag compatibility
utils,predicate, 0.5,1,transformer utils,transformer predicate
writer,tokenizer, 0.5,1,string writer,string tokenizer
load,bean, 0.5,1,load map,bean map
